anio,mes,dia,hora(utc),altura(mm)
2016,1,26,8,286 
2016,1,26,9,286 
2016,1,26,10,261 
2016,1,26,11,215 
2016,1,26,12,150 
2016,1,26,13,76 
2016,1,26,14,6 
2016,1,26,15,-45 
2016,1,26,16,-69 
2016,1,26,17,-56 
2016,1,26,18,-11 
2016,1,26,19,52 
2016,1,26,20,121 
2016,1,26,21,186 
2016,1,26,22,237 
2016,1,26,23,263 
2016,1,27,0,261 
2016,1,27,1,240 
2016,1,27,2,217 
2016,1,27,3,201 
2016,1,27,4,194 
2016,1,27,5,195 
2016,1,27,6,202 
2016,1,27,7,213 
2016,1,27,8,230 
2016,1,27,9,243 
2016,1,27,10,240 
2016,1,27,11,217 
2016,1,27,12,177 
2016,1,27,13,121 
2016,1,27,14,59 
2016,1,27,15,7 
2016,1,27,16,-25 
2016,1,27,17,-29 
2016,1,27,18,-2 
2016,1,27,19,47 
2016,1,27,20,104 
2016,1,27,21,163 
2016,1,27,22,216 
2016,1,27,23,253 
2016,1,28,0,264 
2016,1,28,1,251 
2016,1,28,2,225 
2016,1,28,3,198 
2016,1,28,4,177 
2016,1,28,5,164 
2016,1,28,6,160 
2016,1,28,7,164 
2016,1,28,8,174 
2016,1,28,9,189 
2016,1,28,10,200 
2016,1,28,11,198 
2016,1,28,12,180 
2016,1,28,13,148 
2016,1,28,14,103 
2016,1,28,15,58 
2016,1,28,16,26 
2016,1,28,17,15 
2016,1,28,18,26 
2016,1,28,19,60 
2016,1,28,20,105 
2016,1,28,21,155 
2016,1,28,22,204 
2016,1,28,23,245 
2016,1,29,0,267 
2016,1,29,1,265 
2016,1,29,2,243 
2016,1,29,3,211 
2016,1,29,4,179 
2016,1,29,5,152 
2016,1,29,6,133 
2016,1,29,7,126 
2016,1,29,8,127 
2016,1,29,9,136 
2016,1,29,10,152 
2016,1,29,11,165 
2016,1,29,12,166 
2016,1,29,13,156 
2016,1,29,14,134 
2016,1,29,15,103 
2016,1,29,16,78 
